normal fire water electric grass ice fighting poison ground flying psychic bug rock ghost dragon dark steel fairy none
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.5 0.0 1.0 1.0 0.5 1.0 1.0
1.0 0.5 0.5 1.0 2.0 2.0 1.0 1.0 1.0 1.0 1.0 2.0 0.5 1.0 0.5 1.0 2.0 1.0 1.0
1.0 2.0 0.5 1.0 0.5 1.0 1.0 1.0 2.0 1.0 1.0 1.0 2.0 1.0 0.5 1.0 1.0 1.0 1.0
1.0 1.0 2.0 0.5 0.5 1.0 1.0 1.0 0.0 2.0 1.0 1.0 1.0 1.0 0.5 1.0 1.0 1.0 1.0
1.0 0.5 2.0 1.0 0.5 1.0 1.0 0.5 2.0 0.5 1.0 0.5 2.0 1.0 0.5 1.0 0.5 1.0 1.0
1.0 0.5 0.5 1.0 2.0 0.5 1.0 1.0 2.0 2.0 1.0 1.0 1.0 1.0 2.0 1.0 0.5 1.0 1.0
2.0 1.0 1.0 1.0 1.0 2.0 1.0 0.5 1.0 0.5 0.5 0.5 2.0 0.0 1.0 2.0 2.0 0.5 1.0
1.0 1.0 1.0 1.0 2.0 1.0 1.0 0.5 0.5 1.0 1.0 1.0 0.5 0.5 1.0 1.0 0.0 2.0 1.0
1.0 2.0 1.0 2.0 0.5 1.0 1.0 2.0 1.0 0.0 1.0 0.5 2.0 1.0 1.0 1.0 2.0 1.0 1.0
1.0 1.0 1.0 0.5 2.0 1.0 2.0 1.0 1.0 1.0 1.0 2.0 0.5 1.0 1.0 1.0 0.5 1.0 1.0
1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 1.0 1.0 0.5 1.0 1.0 1.0 1.0 0.0 0.5 1.0 1.0
1.0 0.5 1.0 1.0 2.0 1.0 0.5 0.5 1.0 0.5 2.0 1.0 1.0 0.5 1.0 2.0 0.5 0.5 1.0
1.0 2.0 1.0 1.0 1.0 2.0 0.5 1.0 0.5 2.0 1.0 2.0 1.0 1.0 1.0 1.0 0.5 1.0 1.0
0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 1.0 1.0 2.0 1.0 0.5 1.0 1.0 1.0
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 1.0 0.5 0.0 1.0
1.0 1.0 1.0 1.0 1.0 1.0 0.5 1.0 1.0 1.0 2.0 1.0 1.0 2.0 1.0 0.5 1.0 0.5 1.0
1.0 0.5 0.5 0.5 1.0 2.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 1.0 1.0 1.0 0.5 2.0 1.0
1.0 0.5 1.0 1.0 1.0 1.0 2.0 0.5 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 0.5 1.0 1.0
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0 1.0
